investor_name,ciks,positions,aum_mm,total_shares
"Mirae Asset Global Investments Co., Ltd.",1,1527,36035.6,273980721
"Alyeska Investment Group, L.P.",1,526,35403.8,713364529
"Ieq Capital, LLC",1,1709,33399.6,276348641
Walleye Capital LLC,1,1745,32596.8,1390976815
Eurizon Capital SGR S.p.A.,1,1072,32131.9,231220771
Vontobel Holding Ltd.,1,1081,31750.0,251389122
Temasek Holdings (Private) Ltd,1,125,31574.8,295695807
Fiera Capital Corp,1,359,31534.1,253182531
"State of Tennessee, Department of Treasury",1,1656,31274.3,290263877
Natixis,1,1040,28164.1,243933868
Clear Street Group Inc.,1,309,26928.2,312355939
Strs Ohio,1,2033,26811.4,242977755
"Pathstone Holdings, LLC",1,2051,25926.4,297578813
Klp Kapitalforvaltning As,1,2082,25896.3,206434373
Polar Capital Holdings Plc,1,247,25877.2,341843988
Woodline Partners LP,1,959,25809.4,438898499
Verition Fund Management LLC,1,2372,25469.1,1324471012
Rathbones Group PLC,1,579,25261.3,141107694
Flossbach von Storch SE,1,106,25229.1,151945791
Allworth Financial LP,1,4042,24413.2,324345737
Castle Hook Partners LP,1,56,24069.8,111953925
Earnest Partners LLC,1,288,23335.5,378253905
Agf Management Ltd,1,610,23054.6,281963837
AustralianSuper Pty Ltd,1,264,21511.4,172983576
Menora Mivtachim Holdings Ltd.,1,123,21275.1,193391319
Edgewood Management LLC,1,86,20999.5,76036329
Jain Global LLC,1,983,20687.2,570191874
Lansforsakringar Fondforvaltning AB (publ),1,535,20218.0,135117789
Capula Management Ltd,1,366,19962.6,102852610
M&g PLC,1,355,19467.0,914651459
DAVENPORT & Co LLC,1,1137,18771.5,188522134
Brown Brothers Harriman & Co,1,1719,18335.4,196621947
Mubadala Investment Co PJSC,1,59,17481.2,529888362
London Co of Virginia,1,162,17332.8,156812443
Banque Pictet & Cie SA,1,364,17056.1,75269210
Forsta Ap-Fonden,1,527,16776.6,102387875
Capitolis Liquid Global Markets LLC,1,311,16766.6,141569577
UniSuper Management Pty Ltd,1,668,16694.9,108750993
ING Groep NV,1,529,16579.5,153079785
TD Waterhouse Canada Inc.,1,1790,16078.9,190018735
Marex Group plc,1,738,15886.4,232151191
Regions Financial Corp,1,803,15622.1,124419751
"Equitable Holdings, Inc.",1,1372,14627.1,165929312
"Caption Management, LLC",1,818,14582.8,369146915
"Banco Bilbao Vizcaya Argentaria, S.A.",1,714,14352.1,103081596
"First Command Advisory Services, Inc.",1,722,14348.4,104561466
OMERS ADMINISTRATION Corp,1,875,14030.8,163146076
Guggenheim Capital LLC,1,1576,13965.0,290420847
Tcw Group Inc,1,603,13960.6,128604296
Freestone Grove Partners LP,1,702,13832.0,191929792
"Orion Porfolio Solutions, LLC",1,1831,13636.2,202362589
